model,fold 1 - strict,fold 1 - relax,fold 2 - strict,fold 2 - relax,fold 3 - strict,fold 3 - relax,fold 4 - strict,fold 4 - relax,fold 5 - strict,fold 5 - relax,fold 6 - strict,fold 6 - relax,fold 7 - strict,fold 7 - relax
base line,0.8362816355951747,0.9640993009118062,0.7120564000666139,0.912893404349674,0.7997063173740282,0.8908090349883291,0.7487753290851124,0.9014199727175272,0.9167945947309872,0.9816635084343197,0.8549019800401392,0.9346399868824191,0.684817011057003,0.8363618946054923
qa,0.8205205351871736,0.9190653192223036,0.6779018155993815,0.8556271121945377,0.8284296342067642,0.9201231535605295,0.7296427002065462,0.8806028159620093,0.8699577693648232,0.9618037723278161,0.8656195954218163,0.9357113696792854,0.6599169174293754,0.8299137322722012
mixed,0.8524520912677871,0.9648309769272001,0.5422441315324809,0.7548874259286689,0.7462341732577177,0.8752331047246864,0.7962822294867051,0.9199875918250643,0.8551425580354179,0.9559636360397804,0.8252743872928906,0.9090903047793707,0.623509276006837,0.7953701123544934
mixed-loss,0.8603496217154847,0.9582838035745201,0.6778364127727625,0.8662976113278374,0.7759087854813373,0.8921036628154678,0.8616014240480806,0.9445599713695871,0.8880708138328006,0.9563240892168756,0.8414960267377742,0.9276142793059542,0.6104051245210945,0.7999087097901096
pseudo label-triplet,0.8403548401632056,0.9618767736843037,0.7423893194885034,0.9063637741321191,0.8189107203122221,0.9008340873764977,0.7285319360755789,0.8628873895507477,0.9127466829451601,0.967088199761475,0.8631805155867218,0.9309333748082244,0.6471072799784523,0.8264900213704776
pseudo label-tup,0.8884814442737236,0.9750818501685060,0.7364342939077545,0.9161056877278525,0.8669558559696952,0.9614366132657068,0.8614650011739533,0.9320951002571847,0.9170783671441644,0.9722347939653511,0.886225424904145,0.954409520411039,0.7252001456559245,0.8725394734977181
pseudo label-tup w/o miner,0.8871070650413119,0.9705778033251167,0.740015769893388,0.9173956310370435,0.8513795403734121,0.9533717719837579,0.8338790411323548,0.923372849811248,0.898147937224089,0.9684808016688997,0.876845913816807,0.9476206068452466,0.6862529904292802,0.8708602325385524
pseudo label-tup w. batch_norm,0.8572451153448247,0.9584074827233448,0.7365203605046862,0.8889778008513882,0.8328601434733567,0.9622222148016996,0.827845725999057,0.9117558239188819,0.8896583515528553,0.9586079826139935,0.8985859709321604,0.9588345338875633,0.6640814824088868,0.8649396104581306
pseudo label-tup w. normalization,0.8827642325611618,0.9689609177416145,0.7362076909493449,0.9167036273418873,0.8416603396227604,0.9585515830380394,0.8414049779418232,0.913853298908376,0.9022340852651131,0.9729389744074233,0.8798579283360048,0.9454950577537433,0.6823259197585558,0.8577197992862242
bert-base-uncased,0.7575614995818065,0.9164798789836757,0.6620346938440786,0.8507654849964856,0.724147415518822,0.8988705096654722,0.7872587354467033,0.890778757347038,0.8390821301034419,0.9261458690669191,0.7909624084175477,0.9100819775172916,0.66144387689133,0.8230275463603175
bert-base-cased,0.8001312305996093,0.9417600129564838,0.6383679443300767,0.8641251924299784,0.7761142217087358,0.8945038359354136,0.7493950443472157,0.8454342238535917,0.849166711266413,0.9494647494760986,0.7972806545879454,0.9124087771911158,0.6515069553851986,0.7714449680427976
luke,0.874311931785138,0.9696833251879711,0.7077920889256624,0.9035001467910193,0.8246522519553965,0.9575329387265108,0.8303899838167058,0.933841277536398,0.9135763607004003,0.9729900520831909,0.8759170991350871,0.9465624573804612,0.6262019668199796,0.798823466370678
distilbert,0.7790035474142666,0.9261874652356978,0.6767265807219093,0.8605843774842584,0.7422366250040595,0.8797897237626326,0.7241393938946107,0.8214116716775921,0.7857775863358851,0.9178134671151557,0.7704125095260207,0.9015860197999213,0.5913282622928194,0.7453035925957825
